name,owner,url,totalPullRequests,closed,merged,processado
QMUI_Android,Tencent,https://github.com/Tencent/QMUI_Android,39,17,21,True
mockito,mockito,https://github.com/mockito/mockito,1492,291,1192,True
BigData-Notes,heibaiying,https://github.com/heibaiying/BigData-Notes,39,19,7,True
bytecode-viewer,Konloch,https://github.com/Konloch/bytecode-viewer,139,28,108,True
thingsboard,thingsboard,https://github.com/thingsboard/thingsboard,3506,744,2713,True
logger,orhanobut,https://github.com/orhanobut/logger,62,22,29,True
Material-Animations,lgvalle,https://github.com/lgvalle/Material-Animations,24,7,12,True
vert.x,eclipse-vertx,https://github.com/eclipse-vertx/vert.x,2144,721,1342,True
Arduino,arduino,https://github.com/arduino/Arduino,1494,673,714,True
caffeine,ben-manes,https://github.com/ben-manes/caffeine,222,69,153,True
ruoyi-vue-pro,YunaiV,https://github.com/YunaiV/ruoyi-vue-pro,52,27,19,True
hadoop,apache,https://github.com/apache/hadoop,5598,1783,2999,False
logstash,elastic,https://github.com/elastic/logstash,8551,4245,4131,False
flink-learning,zhisheng17,https://github.com/zhisheng17/flink-learning,58,43,15,False
DataX,alibaba,https://github.com/alibaba/DataX,437,123,128,False
Android-PickerView,Bigkoo,https://github.com/Bigkoo/Android-PickerView,78,26,32,False
Luban,Curzibn,https://github.com/Curzibn/Luban,33,15,11,False
tink,google,https://github.com/google/tink,224,93,125,False
Grasscutter,Grasscutters,https://github.com/Grasscutters/Grasscutter,1050,258,791,False
AndroidAutoSize,JessYanCoding,https://github.com/JessYanCoding/AndroidAutoSize,7,3,4,False
deeplearning4j,deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,4263,400,3859,False
spring-analysis,seaswalker,https://github.com/seaswalker/spring-analysis,23,9,7,False
pinpoint,pinpoint-apm,https://github.com/pinpoint-apm/pinpoint,6034,496,5493,False
jib,GoogleContainerTools,https://github.com/GoogleContainerTools/jib,2468,233,2212,False
stetho,facebookarchive,https://github.com/facebookarchive/stetho,321,35,267,False
pulsar,apache,https://github.com/apache/pulsar,13683,1786,11673,False
zuul,Netflix,https://github.com/Netflix/zuul,1020,248,746,False
greenDAO,greenrobot,https://github.com/greenrobot/greenDAO,128,49,37,False
druid,apache,https://github.com/apache/druid,9519,1174,8083,False
jd-gui,java-decompiler,https://github.com/java-decompiler/jd-gui,57,27,9,False
Matisse,zhihu,https://github.com/zhihu/Matisse,171,48,67,False
PictureSelector,LuckSiege,https://github.com/LuckSiege/PictureSelector,58,20,12,False
banner,youth5201314,https://github.com/youth5201314/banner,32,15,15,False
piggymetrics,sqshq,https://github.com/sqshq/piggymetrics,44,16,22,False
